Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Direction	GO terms (biological process)	GO terms (molecular function)	Pathways of gene	Accession-2
RSAU_RS03050	RSAU_RS03050	643621	644724	RSAU_RS03050-MONOMER	+				RSAU_000595
RSAU_RS10255	RSAU_RS10255	2049170	2051827	RSAU_RS10255-MONOMER	+				RSAU_001918
RSAU_RS00615	RSAU_RS00615	138853	139827	RSAU_RS00615-MONOMER	+		GO:0005215		RSAU_000126
RSAU_RS11000	RSAU_RS11000	2200753	2201556	RSAU_RS11000-MONOMER	-				RSAU_002055
RSAU_RS09325	RSAU_RS09325	1871417	1872968	RSAU_RS09325-rRNA	-				RSAU_001747
RSAU_RS00770	RSAU_RS00770	185483	186061	RSAU_RS00770-MONOMER	+				RSAU_000156
RSAU_RS04840	RSAU_RS04840	993275	993490	RSAU_RS04840-MONOMER	-				RSAU_000928
RSAU_RS07365	RSAU_RS07365	1507348	1508340	RSAU_RS07365-MONOMER	-				RSAU_001384
RSAU_RS00175	RSAU_RS00175	40516	41736	RSAU_RS00175-MONOMER	-		GO:0005215		RSAU_000038
RSAU_RS08975	RSAU_RS08975	1832429	1832517	RSAU_RS08975-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001682
RSAU_RS00370	RSAU_RS00370	87856	88284	RSAU_RS00370-MONOMER	+				RSAU_000079
RSAU_RS03625	RSAU_RS03625	754296	755213	RSAU_RS03625-MONOMER	-				RSAU_000700
RSAU_RS05580	RSAU_RS05580	1134059	1134490	RSAU_RS05580-MONOMER	+				RSAU_001059
RSAU_RS08540	RSAU_RS08540	1745114	1746190	RSAU_RS08540-MONOMER	-				RSAU_001602
RSAU_RS07035	RSAU_RS07035	1444875	1446167	RSAU_RS07035-MONOMER	-			TRNA-CHARGING-PWY	RSAU_001326
RSAU_RS02505	RSAU_RS02505	530143	530325	RSAU_RS02505-MONOMER	+				RSAU_000487
RSAU_RS05230	RSAU_RS05230	1074517	1075428	RSAU_RS05230-MONOMER	-			PWY-7856	RSAU_001000
RSAU_RS02990	RSAU_RS02990	631876	632358	RSAU_RS02990-MONOMER	+		GO:0005215		RSAU_000582
RSAU_RS01375	RSAU_RS01375	314697	315524	RSAU_RS01375-MONOMER	-				RSAU_000267
RSAU_RS11050	RSAU_RS11050	2207322	2207969	RSAU_RS11050-MONOMER	-			PWY-6126 // PWY-7219	RSAU_002065
RSAU_RS13200	RSAU_RS13200	2617516	2618121	RSAU_RS13200-MONOMER	-				RSAU_002460
RSAU_RS12245	RSAU_RS12245	2424814	2425749	RSAU_RS12245-MONOMER	-			PANTOSYN-PWY // PANTO-PWY	RSAU_002283
RSAU_RS00900	RSAU_RS00900	217977	219119	RSAU_RS00900-MONOMER	+				RSAU_000181
RSAU_RS06785	RSAU_RS06785	1385697	1386098	RSAU_RS06785-MONOMER	-				RSAU_001281
RSAU_RS07665	RSAU_RS07665	1560082	1560834	RSAU_RS07665-MONOMER	-				RSAU_001442
RSAU_RS09540	RSAU_RS09540	1910749	1910895	RSAU_RS09540-MONOMER	-				
RSAU_RS02425	RSAU_RS02425	513438	513998	RSAU_RS02425-MONOMER	+			PWY-6466 // AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_000471
RSAU_RS10810	RSAU_RS10810	2162005	2162988	RSAU_RS10810-MONOMER	-		GO:0005215		RSAU_002021
RSAU_RS13940	RSAU_RS13940	664901	665077	RSAU_RS13940-MONOMER	+				
RSAU_RS01520	RSAU_RS01520	341713	342426	RSAU_RS01520-MONOMER	+				RSAU_000295
RSAU_RS00875	RSAU_RS00875	209444	210628	RSAU_RS00875-MONOMER	-			FAO-PWY // PWY0-1337	RSAU_000176
RSAU_RS01400	RSAU_RS01400	318466	319266	RSAU_RS01400-MONOMER	+				RSAU_000271
RSAU_RS08695	RSAU_RS08695	1783250	1783720	RSAU_RS08695-MONOMER	+				RSAU_001632
RSAU_RS10090	RSAU_RS10090	2016138	2017907	RSAU_RS10090-MONOMER	+			ILEUSYN-PWY // PWY-5104 // BRANCHED-CHAIN-AA-SYN-PWY // VALSYN-PWY // PWY-6389 // PWY-5939	RSAU_001887
RSAU_RS07855	RSAU_RS07855	1594939	1595367	RSAU_RS07855-MONOMER	-				RSAU_001478
RSAU_RS10190	RSAU_RS10190	2038312	2039313	RSAU_RS10190-MONOMER	-				RSAU_001907
RSAU_RS11875	RSAU_RS11875	2351434	2351817	RSAU_RS11875-MONOMER	+				RSAU_002216
RSAU_RS05015	RSAU_RS05015	1030220	1031698	RSAU_RS05015-MONOMER	+			PWY-6123	RSAU_000960
RSAU_RS06115	RSAU_RS06115	1252779	1254065	RSAU_RS06115-MONOMER	+				RSAU_001162
RSAU_RS00550	RSAU_RS00550	126032	127270	RSAU_RS00550-MONOMER	+				RSAU_000113
RSAU_RS01335	RSAU_RS01335	303841	305061	RSAU_RS01335-MONOMER	+		GO:0005215		RSAU_000259
RSAU_RS07610	RSAU_RS07610	1551457	1552203	RSAU_RS07610-MONOMER	-				RSAU_001431
RSAU_RS11165	RSAU_RS11165	2218833	2219222	RSAU_RS11165-MONOMER	+				RSAU_002088
RSAU_RS11415	RSAU_RS11415	2263178	2263419	RSAU_RS11415-MONOMER	-				
RSAU_RS08685	RSAU_RS08685	1781697	1782551	RSAU_RS08685-MONOMER	-				RSAU_001630
RSAU_RS05140	RSAU_RS05140	1055576	1055851	RSAU_RS05140-MONOMER	+				RSAU_000982
RSAU_RS05760	RSAU_RS05760	1171962	1174370	RSAU_RS05760-MONOMER	+				RSAU_001094
RSAU_RS02790	RSAU_RS02790	597267	598343	RSAU_RS02790-MONOMER	+				RSAU_000544
RSAU_RS04165	RSAU_RS04165	857655	859052	RSAU_RS04165-MONOMER	+				RSAU_000796
RSAU_RS12190	RSAU_RS12190	2413811	2414284	RSAU_RS12190-MONOMER	-				RSAU_002275
RSAU_RS08435	RSAU_RS08435	1719614	1720888	RSAU_RS08435-MONOMER	+				RSAU_001584
RSAU_RS00795	RSAU_RS00795	191112	192188	RSAU_RS00795-MONOMER	+				RSAU_000161
RSAU_RS11090	RSAU_RS11090	2211833	2212018	RSAU_RS11090-MONOMER	-				RSAU_002073
RSAU_RS00015	RSAU_RS00015	3254	3499	RSAU_RS00015-MONOMER	+				RSAU_000003
RSAU_RS06385	RSAU_RS06385	1300078	1300611	RSAU_RS06385-MONOMER	+				RSAU_001206
RSAU_RS03650	RSAU_RS03650	759766	760632	RSAU_RS03650-MONOMER	-		GO:0005215		RSAU_000704
RSAU_RS00135	RSAU_RS00135	33827	34763	RSAU_RS00135-MONOMER	+				
RSAU_RS04020	RSAU_RS04020	837445	837663	RSAU_RS04020-MONOMER	-				
RSAU_RS02155	RSAU_RS02155	468435	468764	RSAU_RS02155-MONOMER	+				RSAU_000420
RSAU_RS11035	RSAU_RS11035	2206378	2206743	RSAU_RS11035-MONOMER	-				RSAU_002062
RSAU_RS13385	RSAU_RS13385	2662033	2662992	RSAU_RS13385-MONOMER	-				RSAU_002493
RSAU_RS13355	RSAU_RS13355	2651773	2653632	RSAU_RS13355-MONOMER	+				RSAU_002487
RSAU_RS05495	RSAU_RS05495	1120007	1120153	RSAU_RS05495-MONOMER	+				
RSAU_RS07995	RSAU_RS07995	1627532	1628824	RSAU_RS07995-MONOMER	-				RSAU_001505
RSAU_RS01065	RSAU_RS01065	252346	252789	RSAU_RS01065-MONOMER	+				RSAU_000209
RSAU_RS07230	RSAU_RS07230	1482174	1483925	RSAU_RS07230-MONOMER	-				RSAU_001359
RSAU_RS11230	RSAU_RS11230	2232804	2233568	RSAU_RS11230-MONOMER	-				RSAU_002098
RSAU_RS03360	RSAU_RS03360	703760	704203	RSAU_RS03360-MONOMER	+				RSAU_000652
RSAU_RS03980	RSAU_RS03980	827116	827637	RSAU_RS03980-MONOMER	+				RSAU_000763
RSAU_RS02820	RSAU_RS02820	602688	603329	RSAU_RS02820-MONOMER	+				RSAU_000549
RSAU_RS12460	RSAU_RS12460	2464134	2464927	RSAU_RS12460-MONOMER	-				RSAU_002320
RSAU_RS07270	RSAU_RS07270	1488925	1489467	RSAU_RS07270-MONOMER	-				RSAU_001367
RSAU_RS02575	RSAU_RS02575	547206	548381	RSAU_RS02575-MONOMER	-				RSAU_000501
RSAU_RS10245	RSAU_RS10245	2047222	2048898	RSAU_RS10245-MONOMER	-				RSAU_001917
RSAU_RS05370	RSAU_RS05370	1098954	1099220	RSAU_RS05370-MONOMER	+				RSAU_001025
RSAU_RS10645	RSAU_RS10645	2122107	2122964	RSAU_RS10645-MONOMER	-				RSAU_001989
RSAU_RS01825	RSAU_RS01825	397273	398343	RSAU_RS01825-MONOMER	+				RSAU_000354
RSAU_RS02315	RSAU_RS02315	495853	497946	RSAU_RS02315-MONOMER	+				RSAU_000450
RSAU_RS00700	RSAU_RS00700	165740	166795	RSAU_RS00700-MONOMER	+				RSAU_000142
RSAU_RS05410	RSAU_RS05410	1107467	1109233	RSAU_RS05410-MONOMER	+			PWY0-1329 // PWY0-1353	RSAU_001032
RSAU_RS05110	RSAU_RS05110	1048809	1049360	RSAU_RS05110-MONOMER	-				RSAU_000976
RSAU_RS12415	RSAU_RS12415	2459425	2459838	RSAU_RS12415-MONOMER	-				RSAU_002313
RSAU_RS08005	RSAU_RS08005	1629606	1629926	RSAU_RS08005-MONOMER	-				RSAU_001507
RSAU_RS03645	RSAU_RS03645	759246	759746	RSAU_RS03645-MONOMER	-			PWY-6700	RSAU_000703
RSAU_RS03130	RSAU_RS03130	664455	664751	RSAU_RS03130-MONOMER	+				RSAU_000614
RSAU_RS02745	RSAU_RS02745	588124	588492	RSAU_RS02745-MONOMER	+				RSAU_000534
RSAU_RS03615	RSAU_RS03615	753144	753692	RSAU_RS03615-MONOMER	+				RSAU_000699
RSAU_RS10170	RSAU_RS10170	2034056	2036206	RSAU_RS10170-MONOMER	-				RSAU_001903
RSAU_RS00735	RSAU_RS00735	175355	176947	RSAU_RS00735-MONOMER	-		GO:0005215		RSAU_000149
RSAU_RS03905	RSAU_RS03905	812656	813666	RSAU_RS03905-MONOMER	+			ANAEROFRUCAT-PWY // P122-PWY // ANAGLYCOLYSIS-PWY // GLUCONEO-PWY	RSAU_000750
RSAU_RS05750	RSAU_RS05750	1170329	1170547	RSAU_RS05750-MONOMER	+				RSAU_001092
RSAU_RS05885	RSAU_RS05885	1200551	1200883	RSAU_RS05885-MONOMER	+				RSAU_001118
RSAU_RS06470	RSAU_RS06470	1315814	1316437	RSAU_RS06470-MONOMER	-				RSAU_001221
RSAU_RS05825	RSAU_RS05825	1186454	1186828	RSAU_RS05825-MONOMER	+				RSAU_001107
RSAU_RS10610	RSAU_RS10610	2115320	2116411	RSAU_RS10610-MONOMER	+				RSAU_001984
RSAU_RS02970	RSAU_RS02970	627234	629636	RSAU_RS02970-MONOMER	+		GO:0005215		RSAU_000578
RSAU_RS12835	RSAU_RS12835	2547331	2547498	RSAU_RS12835-MONOMER	-				
RSAU_RS07410	RSAU_RS07410	1515769	1517124	RSAU_RS07410-MONOMER	-			PWY0-1264	RSAU_001393
RSAU_RS02865	RSAU_RS02865	609384	609920	RSAU_RS02865-MONOMER	+				RSAU_000558
RSAU_RS11040	RSAU_RS11040	2206766	2206879	RSAU_RS11040-MONOMER	-				RSAU_002063
RSAU_RS01525	RSAU_RS01525	342451	343293	RSAU_RS01525-MONOMER	+		GO:0005215		RSAU_000296
RSAU_RS13635	RSAU_RS13635	2717544	2718452	RSAU_RS13635-MONOMER	-		GO:0005215		RSAU_002541
RSAU_RS11075	RSAU_RS11075	2210452	2210811	RSAU_RS11075-MONOMER	-				RSAU_002070
RSAU_RS02215	RSAU_RS02215	476929	477822	RSAU_RS02215-MONOMER	+				RSAU_000430
RSAU_RS04930	RSAU_RS04930	1013359	1014552	RSAU_RS04930-MONOMER	+				RSAU_000944
RSAU_RS07815	RSAU_RS07815	1588299	1589309	RSAU_RS07815-MONOMER	-				RSAU_001470
RSAU_RS10915	RSAU_RS10915	2184432	2185172	RSAU_RS10915-MONOMER	+				RSAU_002041
RSAU_RS04530	RSAU_RS04530	934322	935977	RSAU_RS04530-MONOMER	+		GO:0005215		RSAU_000864
RSAU_RS06235	RSAU_RS06235	1280147	1281061	RSAU_RS06235-MONOMER	+				RSAU_001185
RSAU_RS13650	RSAU_RS13650	2720674	2721486	RSAU_RS13650-MONOMER	+				RSAU_002544
RSAU_RS02610	RSAU_RS02610	556322	556984	RSAU_RS02610-MONOMER	-			PWY-7224 // PWY-7200 // PWY-7199	RSAU_000508
RSAU_RS06925	RSAU_RS06925	1411872	1412309	RSAU_RS06925-MONOMER	-				RSAU_001307
RSAU_RS07475	RSAU_RS07475	1527264	1527761	RSAU_RS07475-MONOMER	-				RSAU_001405
RSAU_RS12505	RSAU_RS12505	2472063	2472320	RSAU_RS12505-MONOMER	-				RSAU_002329
RSAU_RS11690	RSAU_RS11690	2316529	2316948	RSAU_RS11690-MONOMER	+				RSAU_002183
RSAU_RS01300	RSAU_RS01300	297354	298244	RSAU_RS01300-MONOMER	+				RSAU_000253
RSAU_RS02015	RSAU_RS02015	434354	435259	RSAU_RS02015-MONOMER	+				RSAU_000392
RSAU_RS03005	RSAU_RS03005	633409	635451	RSAU_RS03005-MONOMER	+		GO:0005215		RSAU_000585
RSAU_RS06500	RSAU_RS06500	1319997	1320464	RSAU_RS06500-MONOMER	+				RSAU_001226
RSAU_RS06535	RSAU_RS06535	1331152	1331448	RSAU_RS06535-MONOMER	-				RSAU_001234
RSAU_RS08740	RSAU_RS08740	1789390	1790223	RSAU_RS08740-MONOMER	-				RSAU_001641
RSAU_RS03345	RSAU_RS03345	701140	702360	RSAU_RS03345-MONOMER	+		GO:0005215		RSAU_000649
RSAU_RS10580	RSAU_RS10580	2109256	2110629	RSAU_RS10580-MONOMER	-				RSAU_001979
RSAU_RS07200	RSAU_RS07200	1476520	1476768	RSAU_RS07200-MONOMER	+				RSAU_001354
RSAU_RS07290	RSAU_RS07290	1491834	1492649	RSAU_RS07290-MONOMER	+			PWY-8187 // ARG-PRO-PWY	RSAU_001370
RSAU_RS05075	RSAU_RS05075	1042694	1042927	RSAU_RS05075-MONOMER	-				
RSAU_RS00355	RSAU_RS00355	85691	86893	RSAU_RS00355-MONOMER	+			PWY-8008	RSAU_000077
RSAU_RS10365	RSAU_RS10365	2069979	2071244	RSAU_RS10365-MONOMER	-			PWY-6386 // PWY0-1261	RSAU_001938
RSAU_RS00960	RSAU_RS00960	230062	230529	RSAU_RS00960-MONOMER	+				RSAU_000190
RSAU_RS09825	RSAU_RS09825	1969566	1970789	RSAU_RS09825-MONOMER	+				RSAU_001839
RSAU_RS08690	RSAU_RS08690	1782827	1783051	RSAU_RS08690-MONOMER	-				RSAU_001631
RSAU_RS13435	RSAU_RS13435	2679959	2680318	RSAU_RS13435-MONOMER	+				RSAU_002503
RSAU_RS01655	RSAU_RS01655	365486	366067	RSAU_RS01655-MONOMER	+				RSAU_000320
RSAU_RS09130	RSAU_RS09130	1856167	1857552	RSAU_RS09130-MONOMER	-			FERMENTATION-PWY // TCA	RSAU_001710
RSAU_RS13040	RSAU_RS13040	2585269	2585856	RSAU_RS13040-MONOMER	-				RSAU_002434
RSAU_RS12450	RSAU_RS12450	2463058	2463243	RSAU_RS12450-MONOMER	+				
RSAU_RS05155	RSAU_RS05155	1057634	1058431	RSAU_RS05155-MONOMER	+		GO:0005215		RSAU_000985
RSAU_RS03055	RSAU_RS03055	644721	645782	RSAU_RS03055-MONOMER	+				RSAU_000596
RSAU_RS01970	RSAU_RS01970	422732	423934	RSAU_RS01970-MONOMER	+				RSAU_000380
RSAU_RS12960	RSAU_RS12960	2572060	2572359	RSAU_RS12960-MONOMER	-				RSAU_002417
RSAU_RS07670	RSAU_RS07670	1560836	1561774	RSAU_RS07670-MONOMER	-				RSAU_001443
RSAU_RS08755	RSAU_RS08755	1793032	1794624	RSAU_RS08755-MONOMER	+			GLUCONEO-PWY	RSAU_001644
RSAU_RS00800	RSAU_RS00800	192213	193253	RSAU_RS00800-MONOMER	+				RSAU_000162
RSAU_RS07890	RSAU_RS07890	1605023	1606036	RSAU_RS07890-MONOMER	+				RSAU_001485
RSAU_RS09260	RSAU_RS09260	1867039	1867112	RSAU_RS09260-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001734
RSAU_RS08805	RSAU_RS08805	1802330	1802671	RSAU_RS08805-MONOMER	+				RSAU_001654
RSAU_RS01665	RSAU_RS01665	366921	367547	RSAU_RS01665-MONOMER	-				RSAU_000321
RSAU_RS14040	RSAU_RS14040	966138	967808	RSAU_RS14040-MONOMER	+				
RSAU_RS02795	RSAU_RS02795	598520	598861	RSAU_RS02795-MONOMER	+				RSAU_000545
RSAU_RS07325	RSAU_RS07325	1499528	1499899	RSAU_RS07325-MONOMER	-				RSAU_001376
RSAU_RS02295	RSAU_RS02295	492678	493070	RSAU_RS02295-MONOMER	+				RSAU_000446
RSAU_RS09450	RSAU_RS09450	1894499	1895716	RSAU_RS09450-MONOMER	+				RSAU_001770
RSAU_RS02520	RSAU_RS02520	531697	532389	RSAU_RS02520-MONOMER	+				RSAU_000490
RSAU_RS11155	RSAU_RS11155	2217478	2218140	RSAU_RS11155-MONOMER	-				RSAU_002086
RSAU_RS05195	RSAU_RS05195	1065484	1065675	RSAU_RS05195-MONOMER	-				RSAU_000993
RSAU_RS12705	RSAU_RS12705	2519936	2520034	RSAU_RS12705-MONOMER	-				
RSAU_RS12660	RSAU_RS12660	2512490	2513296	RSAU_RS12660-MONOMER	+				RSAU_002363
RSAU_RS00890	RSAU_RS00890	214428	215933	RSAU_RS00890-MONOMER	-			PWY-5104 // FAO-PWY // PWY-5143 // PWY0-1337 // PWY-5971 // PWY-5989	RSAU_000179
RSAU_RS11435	RSAU_RS11435	2267077	2267577	RSAU_RS11435-MONOMER	+				RSAU_002136
RSAU_RS00165	RSAU_RS00165	39904	40107	RSAU_RS00165-MONOMER	+				
RSAU_RS07565	RSAU_RS07565	1540667	1541557	RSAU_RS07565-MONOMER	-				RSAU_001422
RSAU_RS10315	RSAU_RS10315	2063060	2063932	RSAU_RS10315-MONOMER	-				RSAU_001929
RSAU_RS11825	RSAU_RS11825	2343283	2344287	RSAU_RS11825-MONOMER	+				RSAU_002208
RSAU_RS07645	RSAU_RS07645	1556327	1557316	RSAU_RS07645-MONOMER	-				RSAU_001438
RSAU_RS04095	RSAU_RS04095	845826	846206	RSAU_RS04095-MONOMER	+				RSAU_000783
RSAU_RS12100	RSAU_RS12100	2396137	2397066	RSAU_RS12100-MONOMER	+				RSAU_002258
RSAU_RS08225	RSAU_RS08225	1670469	1671092	RSAU_RS08225-MONOMER	-			PANTOSYN-PWY // COA-PWY	RSAU_001546
RSAU_RS01095	RSAU_RS01095	257149	257910	RSAU_RS01095-MONOMER	-				RSAU_000214
RSAU_RS05735	RSAU_RS05735	1166869	1167270	RSAU_RS05735-MONOMER	+				RSAU_001089
RSAU_RS12865	RSAU_RS12865	2553658	2554656	RSAU_RS12865-MONOMER	-			P122-PWY // FERMENTATION-PWY	RSAU_002400
RSAU_RS08525	RSAU_RS08525	1743156	1743752	RSAU_RS08525-MONOMER	-				RSAU_001599
RSAU_RS12615	RSAU_RS12615	2501370	2501981	RSAU_RS12615-MONOMER	+				RSAU_002350
RSAU_RS01835	RSAU_RS01835	398708	399412	RSAU_RS01835-MONOMER	+				RSAU_000355
RSAU_RS11880	RSAU_RS11880	2353305	2355410	RSAU_RS11880-MONOMER	+				RSAU_002217
RSAU_RS10405	RSAU_RS10405	2077727	2077939	RSAU_RS10405-MONOMER	-			PWY-7980	RSAU_001946
RSAU_RS03255	RSAU_RS03255	682830	683216	RSAU_RS03255-MONOMER	+				RSAU_000632
RSAU_RS12375	RSAU_RS12375	2449607	2451205	RSAU_RS12375-MONOMER	-		GO:0005215		RSAU_002305
RSAU_RS13345	RSAU_RS13345	2647531	2648469	RSAU_RS13345-MONOMER	+				RSAU_002485
RSAU_RS02325	RSAU_RS02325	499249	500181	RSAU_RS02325-MONOMER	+			CYSTSYN-PWY	RSAU_000452
RSAU_RS06595	RSAU_RS06595	1346361	1346546	RSAU_RS06595-MONOMER	-				RSAU_001244
RSAU_RS10215	RSAU_RS10215	2041491	2041850	RSAU_RS10215-MONOMER	-			PWY-6012-1	RSAU_001911
RSAU_RS02800	RSAU_RS02800	598913	600235	RSAU_RS02800-MONOMER	-				RSAU_000546
RSAU_RS04880	RSAU_RS04880	1000608	1001789	RSAU_RS04880-MONOMER	-				RSAU_000935
RSAU_RS09455	RSAU_RS09455	1895829	1896458	RSAU_RS09455-MONOMER	-				RSAU_001771
RSAU_RS06730	RSAU_RS06730	1373091	1373993	RSAU_RS06730-MONOMER	-				RSAU_001270
RSAU_RS07330	RSAU_RS07330	1500118	1501524	RSAU_RS07330-MONOMER	-			PENTOSE-P-PWY // OXIDATIVEPENT-PWY	RSAU_001377
RSAU_RS10505	RSAU_RS10505	2096750	2097280	RSAU_RS10505-MONOMER	-				RSAU_001966
RSAU_RS05520	RSAU_RS05520	1123587	1124588	RSAU_RS05520-MONOMER	+			ARGDEGRAD-PWY // PWY-8187 // ARGSYNBSUB-PWY // PWY-4984 // CITRULLINE-DEG-PWY	RSAU_001049
RSAU_RS12160	RSAU_RS12160	2407127	2408890	RSAU_RS12160-MONOMER	-		GO:0005215		RSAU_002269
RSAU_RS10775	RSAU_RS10775	2155375	2156058	RSAU_RS10775-MONOMER	-				RSAU_002014
RSAU_RS01000	RSAU_RS01000	236888	238582	RSAU_RS01000-MONOMER	+				RSAU_000197
RSAU_RS07095	RSAU_RS07095	1458977	1460143	RSAU_RS07095-MONOMER	-			ARO-PWY // PWY-6163	RSAU_001338
RSAU_RS13075	RSAU_RS13075	2591089	2591907	RSAU_RS13075-MONOMER	-			PANTOSYN-PWY // PANTO-PWY	RSAU_002440
RSAU_RS06185	RSAU_RS06185	1266587	1268131	RSAU_RS06185-MONOMER	+				RSAU_001175
RSAU_RS11530	RSAU_RS11530	2284654	2286033	RSAU_RS11530-MONOMER	-		GO:0005215		RSAU_002153
RSAU_RS12550	RSAU_RS12550	2481003	2482196	RSAU_RS12550-MONOMER	-		GO:0005215		RSAU_002338
RSAU_RS02305	RSAU_RS02305	493756	495051	RSAU_RS02305-MONOMER	+				RSAU_000448
RSAU_RS12580	RSAU_RS12580	2491993	2493546	RSAU_RS12580-MONOMER	-			GLUCONSUPER-PWY	RSAU_002343
RSAU_RS07515	RSAU_RS07515	1531731	1532717	RSAU_RS07515-MONOMER	-			ANAEROFRUCAT-PWY // P122-PWY // ANAGLYCOLYSIS-PWY // TREDEGLOW-PWY	RSAU_001412
RSAU_RS00005	RSAU_RS00005	101	1462	RSAU_RS00005-MONOMER	+				RSAU_000001
RSAU_RS10885	RSAU_RS10885	2179846	2180157	RSAU_RS10885-MONOMER	-		GO:0005215		RSAU_002035
RSAU_RS09225	RSAU_RS09225	1866357	1866429	RSAU_RS09225-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001727
RSAU_RS01110	RSAU_RS01110	259102	259506	RSAU_RS01110-MONOMER	-			RIBOKIN-PWY	RSAU_000216
RSAU_RS10675	RSAU_RS10675	2130695	2131801	RSAU_RS10675-MONOMER	+			MANNIDEG-PWY	RSAU_001995
