"Scaffold DIA 4.2.2"
"WU333373_ScaffoldDIA_DIANN19_allSA6850_PrX_db5_result_wCategories_OG.sdia"
"Summarization hierarchy: {0804_vs_rest}"
"   Comparison Level: 0804_vs_rest"
"   Biological Replicate Level: MS Sample"
"   Technical Replicate Level: MS Sample"
"The data below is summarized at the level of (0804_vs_rest)"
"Statistical test: t-test"
""
"","","","","","","","","","","Log2  Fold Change (Total  Intensity) (Normalized)",""
"16","true","Empty","[gene=smc] [locus_tag=RSAU_001116] [protein=chromosome segregation SMC protein, putative] [protein_id=AGU54946.1] [location=1195748..1199314] [gbkey=CDS] BLASTORTHO tr_Q2FZ49_Q2FZ49_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54946.1_1062","137 kDa","0.9999987472999692","52","100%","0.016","0.513","0.000"
"17","true","Empty","[gene=gyrA] [locus_tag=RSAU_000006] [protein=DNA gyrase, A subunit] [protein_id=AGU53890.1] [location=6589..9249] [gbkey=CDS] BLASTORTHO sp_Q2G2Q0_GYRA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53890.1_6","99 kDa","0.9999987218400292","45","100%","0.026","0.314","0.000"
"18","true","Empty","[gene=thrS] [locus_tag=RSAU_001541] [protein=threonyl-tRNA synthetase] [protein_id=AGU55365.1] [location=complement(1663924..1665861)] [gbkey=CDS] BLASTORTHO sp_Q2FXP7_SYT_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55365.1_1481","74 kDa","0.9999987472999692","42","100%","0.011","-0.746","0.000"
"19","true","Empty","[gene=lip] [locus_tag=RSAU_002514] [protein=lipase precursor] [protein_id=AGU56265.1] [location=complement(2689749..2691794)] [gbkey=CDS] BLASTORTHO sp_Q2FUU5_LIP1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56265.1_2381","77 kDa","0.9999987472999692","52","90%","< 0.0001","1.83","0.000"
"20","true","Empty","[gene=lileS] [locus_tag=RSAU_001074] [protein=isoleucyl-tRNA synthetase] [protein_id=AGU54905.1] [location=1149085..1151838] [gbkey=CDS] BLASTORTHO sp_Q2FZ82_SYI_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54905.1_1021","105 kDa","0.9999987472999692","42","100%","0.10","-0.210","0.000"
"21","true","Empty","[gene=fusA] [locus_tag=RSAU_000499] [protein=translation elongation factor G] [protein_id=AGU54350.1] [location=543442..545523] [gbkey=CDS] BLASTORTHO sp_Q2G0N1_EFG_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54350.1_466","77 kDa","0.9999987472999692","38","100%","0.44","-0.0882","0.000"
"22","true","Empty","[gene=dnaK] [locus_tag=RSAU_001445] [protein=chaperone protein DnaK] [protein_id=AGU55271.1] [location=complement(1563053..1564885)] [gbkey=CDS] BLASTORTHO sp_Q2FXZ2_DNAK_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55271.1_1387","66 kDa","0.9999987472999692","48","100%","0.021","-0.481","0.000"
"23","true","Empty","[gene=argS] [locus_tag=RSAU_000564] [protein=arginyl-tRNA synthetase] [protein_id=AGU54409.1] [location=614648..616309] [gbkey=CDS] BLASTORTHO sp_Q2G0F8_SYR_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54409.1_525","62 kDa","0.9999987472999692","41","100%","0.49","-0.130","0.000"
"24","true","Empty","[gene=sdrE] [locus_tag=RSAU_000517] [protein=Serine-aspartate repeat-containing protein E] [protein_id=AGU54364.1] [location=567457..570990] [gbkey=CDS] BLASTORTHO sp_Q2G0L4_SDRD_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54364.1_480","128 kDa","0.9999984367100296","48","88%","0.00022","1.76","0.000"
"25","true","Empty","[gene=geh] [locus_tag=RSAU_000266] [protein=glycerol ester hydrolase] [protein_id=AGU54138.1] [location=312380..314455] [gbkey=CDS] BLASTORTHO sp_Q2G155_LIP2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54138.1_254","77 kDa","0.9999987472999692","43","88%","0.075","1.27","0.000"
"26","true","Empty","[gene=uvrA] [locus_tag=RSAU_000734] [protein=excinuclease ABC subunit A] [protein_id=AGU54572.1] [location=793527..796373] [gbkey=CDS] BLASTORTHO tr_Q2G046_Q2G046_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54572.1_688","105 kDa","0.9999986153300142","45","100%","0.0015","0.605","0.000"
"27","true","Empty","[gene=clpL] [locus_tag=RSAU_002389] [protein=ATP-dependent Clp proteinase, ATP-binding subunit (ClpL)] [protein_id=AGU56143.1] [location=2539265..2541373] [gbkey=CDS] BLASTORTHO sp_Q2FV74_CLPL_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56143.1_2259","78 kDa","0.9999987472999692","44","100%","0.13","-1.43","0.000"
"28","true","Empty","[gene=esaA] [locus_tag=RSAU_000229] [protein=EsaA] [protein_id=AGU54101.1] [location=272658..275687] [gbkey=CDS] BLASTORTHO sp_Q2G188_ESAA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54101.1_217","115 kDa","0.9999987472999692","42","100%","0.47","0.0163","0.000"
"29","true","Empty","[locus_tag=RSAU_001702] [protein=hypothetical protein] [protein_id=AGU55510.1] [location=complement(1845381..1848317)] [gbkey=CDS] BLASTORTHO tr_Q2G2S8_Q2G2S8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55510.1_1626","114 kDa","0.9999987472999692","47","100%","0.96","-0.0276","0.000"
"30","true","Empty","[locus_tag=RSAU_001833] [protein=map-like protein] [protein_id=AGU55610.1] [location=complement(1963396..1965162)] [gbkey=CDS] BLASTORTHO tr_Q2FWW1_Q2FWW1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55610.1_1726","66 kDa","0.9999987472999692","49","100%","0.49","-0.640","0.000"
"31","true","Empty","[gene=adhE] [locus_tag=RSAU_000102] [protein=alcohol dehydrogenase, iron-containing] [protein_id=AGU53976.1] [location=112799..115408] [gbkey=CDS] BLASTORTHO tr_Q2G1K9_Q2G1K9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53976.1_92","95 kDa","0.9999984914200013","44","100%","0.20","-1.96","0.000"
"32","true","Empty","[locus_tag=RSAU_000876] [protein=oligoendopeptidase F, putative] [protein_id=AGU54712.1] [location=946482..948290] [gbkey=CDS] BLASTORTHO tr_Q2G1U3_Q2G1U3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54712.1_828","70 kDa","0.9999987472999692","42","100%","0.036","0.479","0.000"
"33","true","Empty","[gene=lysS] [locus_tag=RSAU_000456] [protein=lysyl-tRNA synthetase] [protein_id=AGU54319.1] [location=502554..504041] [gbkey=CDS] BLASTORTHO sp_Q2G0Q3_SYK_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54319.1_435","57 kDa","0.9999987472999692","41","100%","0.24","0.206","0.000"
"34","true","Empty","[gene=tex] [locus_tag=RSAU_001903] [protein=transcription accessory protein] [protein_id=AGU55669.1] [location=complement(2034056..2036206)] [gbkey=CDS] BLASTORTHO tr_Q2FWJ5_Q2FWJ5_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55669.1_1785","81 kDa","0.9999984367100296","42","100%","0.67","0.181","0.000"
"35","true","Empty","[gene=gatB] [locus_tag=RSAU_001786] [protein=glutamyl-tRNA(Gln) amidotransferase, B subunit] [protein_id=AGU55564.1] [location=complement(1910935..1912362)] [gbkey=CDS] BLASTORTHO sp_Q2FWZ0_GATB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55564.1_1680","54 kDa","0.9999987472999692","38","100%","0.0028","0.510","0.000"
"36","true","Empty","[gene=glpD] [locus_tag=RSAU_001184] [protein=aerobic glycerol-3-phosphate dehydrogenase GlpD] [protein_id=AGU55014.1] [location=1278325..1279998] [gbkey=CDS] BLASTORTHO sp_Q2FYZ4_GLPD_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55014.1_1130","62 kDa","0.9999987472999692","39","100%","0.28","-0.222","0.000"
"37","true","Empty","[gene=pykA] [locus_tag=RSAU_001555] [protein=pyruvate kinase] [protein_id=AGU55379.1] [location=complement(1684154..1685911)] [gbkey=CDS] BLASTORTHO sp_Q2FXM9_KPYK_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55379.1_1495","63 kDa","0.9999987472999692","40","100%","0.24","-0.279","0.000"
"38","true","Empty","[gene=nrdE] [locus_tag=RSAU_000706] [protein=ribonucleotide-diphosphate reductase, alpha subunit] [protein_id=AGU54544.1] [location=761794..763899] [gbkey=CDS] BLASTORTHO tr_Q2G078_Q2G078_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54544.1_660","80 kDa","0.9999987472999692","37","100%","0.19","0.275","0.000"
"39","true","Empty","[gene=citB] [locus_tag=RSAU_001232] [protein=aconitate hydratase] [protein_id=AGU55061.1] [location=1327594..1330299] [gbkey=CDS] BLASTORTHO tr_Q2FYS9_Q2FYS9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55061.1_1177","99 kDa","0.9999987472999692","38","100%","1.00","-0.0824","0.000"
"40","true","Empty","[gene=pcrA] [locus_tag=RSAU_001792] [protein=DNA helicase PcrA, ATP-dependent] [protein_id=AGU55570.1] [location=complement(1919347..1921539)] [gbkey=CDS] BLASTORTHO sp_Q53727_PCRA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55570.1_1686","84 kDa","0.9999987472999692","37","100%","0.048","0.620","0.000"
"41","true","Empty","[gene=polA] [locus_tag=RSAU_001548] [protein=DNA polymerase I] [protein_id=AGU55372.1] [location=complement(1671996..1674626)] [gbkey=CDS] BLASTORTHO tr_Q2FXN9_Q2FXN9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55372.1_1488","99 kDa","0.9999984367100296","38","100%","0.0018","0.518","0.000"
"42","true","Empty","[gene=hsdR] [locus_tag=RSAU_000147] [protein=type I restriction-modification enzyme, R subunit] [protein_id=AGU54020.1] [location=171292..174081] [gbkey=CDS] BLASTORTHO tr_Q2G1G2_Q2G1G2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54020.1_136","109 kDa","0.9999984083400477","42","100%","0.0011","-0.626","0.000"
"43","true","Empty","[gene=tkt] [locus_tag=RSAU_001224] [protein=transketolase] [protein_id=AGU55054.1] [location=1317310..1319298] [gbkey=CDS] BLASTORTHO tr_Q2FYT8_Q2FYT8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55054.1_1170","72 kDa","0.9999987472999692","38","100%","0.48","0.0914","0.000"
"44","true","Empty","[gene=pnpA] [locus_tag=RSAU_001157] [protein=polyribonucleotide nucleotidyltransferase] [protein_id=AGU54987.1] [location=1244134..1246230] [gbkey=CDS] BLASTORTHO sp_Q2FZ20_PNP_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54987.1_1103","77 kDa","0.9999987472999692","42","100%","0.37","-0.200","0.000"
"45","true","Empty","[locus_tag=RSAU_000365] [protein=surface protein, putative] [protein_id=AGU54234.1] [location=410166..411728] [gbkey=CDS] BLASTORTHO tr_Q2G0X3_Q2G0X3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54234.1_350","59 kDa","0.9999984914200013","44","100%","0.15","-1.86","0.000"
"46","true","Empty","[gene=parC] [locus_tag=RSAU_001237] [protein=DNA topoisomerase IV, A subunit] [protein_id=AGU55066.1] [location=1334631..1337033] [gbkey=CDS] BLASTORTHO sp_Q2FYS4_PARC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55066.1_1182","91 kDa","0.9999984367100296","38","100%","0.35","0.141","0.000"
"47","true","Empty","[locus_tag=RSAU_000130] [protein=non-ribosomal peptide synthetase, putative] [protein_id=AGU54004.1] [location=143953..151128] [gbkey=CDS] BLASTORTHO tr_Q2G1H9_Q2G1H9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54004.1_120","273 kDa","0.9999984367100296","42","100%","0.017","1.07","0.000"
"48","true","Empty","[gene=ftsH] [locus_tag=RSAU_000450] [protein=cell-division protein FtsH] [protein_id=AGU54313.1] [location=495853..497946] [gbkey=CDS] BLASTORTHO tr_Q2G0R0_Q2G0R0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54313.1_429","78 kDa","0.9999987472999692","35","100%","0.0058","0.541","0.000"
"49","true","Empty","[gene=pckA] [locus_tag=RSAU_001644] [protein=ATP-dependent phosphoenolpyruvate carboxykinase] [protein_id=AGU55465.1] [location=1793032..1794624] [gbkey=CDS] BLASTORTHO sp_Q2G1W2_PCKA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55465.1_1581","59 kDa","0.9999984914200013","36","100%","0.00043","1.91","0.000"
"50","true","Empty","[gene=isdB] [locus_tag=RSAU_001013] [protein=heme uptake protein IsdB] [protein_id=AGU54845.1] [location=complement(1084362..1086287)] [gbkey=CDS] BLASTORTHO sp_Q2FZF0_ISDB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54845.1_961","72 kDa","0.9999984914200013","41","90%","< 0.0001","-3.09","0.000"
"51","true","Empty","RSAU_000515; frameshift; Serine-aspartate repeat-containing protein D","pseudoOrframeshift11_fw_frm3","144 kDa","0.9999984914200013","43","95%","0.96","0.121","0.000"
"52","true","Empty","[gene=glyS] [locus_tag=RSAU_001430] [protein=glycyl-tRNA synthetase] [protein_id=AGU55256.1] [location=1549915..1551306] [gbkey=CDS] BLASTORTHO sp_Q2FY08_SYG_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55256.1_1372","54 kDa","0.9999987472999692","33","100%","0.13","-0.0798","0.000"
"53","true","Empty","[gene=fda] [locus_tag=RSAU_002447] [protein=fructose-bisphosphate aldolase class 1] [protein_id=AGU56199.1] [location=2599211..2600101] [gbkey=CDS] BLASTORTHO sp_Q2FV17_ALF1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56199.1_2315","33 kDa","0.9999987472999692","35","100%","0.064","0.488","0.000"
"54","true","Empty","[locus_tag=RSAU_002486] [protein=phage infection protein, putative] [protein_id=AGU56237.1] [location=complement(2648581..2651562)] [gbkey=CDS] BLASTORTHO tr_Q2G221_Q2G221_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56237.1_2353","109 kDa","0.9999987472999692","40","100%","0.13","0.0959","0.000"
"55","true","Empty","[gene=guaB] [locus_tag=RSAU_000334] [protein=Inosine-5'-monophosphate dehydrogenase] [protein_id=AGU54203.1] [location=379830..381296] [gbkey=CDS] BLASTORTHO sp_Q2G0Y7_IMDH_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54203.1_319","53 kDa","0.9999987472999692","36","100%","0.028","-0.414","0.000"
"56","true","Empty","Group of  zz_FGCZCont0025_P04264_K2C1_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00026_ (+1)","","0.9999987472999692","36","28%","0.096","0.426","0.000"
"56.1","true","Empty"," zz_FGCZCont0025_P04264_K2C1_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00026_","66 kDa","0.9999987472999692","36","28%","0.096","0.426","0.000"
"56.2","true","Empty"," zz_FGCZCont0178_P04264_K2C1_HUMAN blastpHomologue_0.0","zz_Y-FGCZCont00179_","66 kDa","0.9999987472999692","36","28%","0.096","0.426","0.000"
"57","true","Empty","[gene=uvrB] [locus_tag=RSAU_000733] [protein=exinuclease ABC subunit B] [protein_id=AGU54571.1] [location=791534..793519] [gbkey=CDS] BLASTORTHO tr_Q2G050_Q2G050_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54571.1_687","77 kDa","0.9999984367100296","39","100%","0.011","0.470","0.000"
"58","true","Empty","RSAU_000513; frameshift; Serine-aspartate repeat-containing protein C","pseudoOrframeshift10_fw_frm3","95 kDa","0.9999984083400477","39","87%","0.92","0.0319","0.000"
"59","true","Empty","[gene=rexA] [locus_tag=RSAU_000844] [protein=ATP-dependent nuclease Rex, subunit A, putative] [protein_id=AGU54680.1] [location=908085..911738] [gbkey=CDS] BLASTORTHO sp_Q2FZT5_ADDA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54680.1_796","141 kDa","0.9999984083400477","39","100%","0.31","0.195","0.000"
"60","true","Empty","[gene=fbp] [locus_tag=RSAU_002357] [protein=fructose-1,6-bisphosphatase] [protein_id=AGU56111.1] [location=2506219..2508183] [gbkey=CDS] BLASTORTHO sp_Q2FVB2_F16PC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56111.1_2227","76 kDa","0.9999987472999692","34","100%","0.32","0.795","0.000"
"61","true","Empty","[gene=mqo2] [locus_tag=RSAU_002448] [protein=malate:quinone oxidoreductase 2] [protein_id=AGU56200.1] [location=complement(2600296..2601792)] [gbkey=CDS] BLASTORTHO tr_Q2FV16_Q2FV16_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56200.1_2316","56 kDa","0.9999987472999692","31","100%","0.82","0.111","0.000"
"62","true","Empty","[gene=infB] [locus_tag=RSAU_001152] [protein=translation initiation factor IF-2] [protein_id=AGU54982.1] [location=1238453..1240570] [gbkey=CDS] BLASTORTHO sp_Q2G2D0_IF2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54982.1_1098","78 kDa","0.9999987472999692","35","100%","0.20","0.0977","0.000"
"63","true","Empty","[gene=ligA] [locus_tag=RSAU_001791] [protein=DNA ligase, NAD-dependent] [protein_id=AGU55569.1] [location=complement(1917340..1919343)] [gbkey=CDS] BLASTORTHO sp_Q2G1Y0_DNLJ_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55569.1_1685","75 kDa","0.9999987472999692","38","100%","0.010","0.492","0.000"
"64","true","Empty","[gene=pbp2] [locus_tag=RSAU_001322] [protein=penicillin binding protein 2] [protein_id=AGU55151.1] [location=1440165..1442348] [gbkey=CDS] BLASTORTHO tr_Q2FYI0_Q2FYI0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55151.1_1267","80 kDa","0.9999987218400292","37","100%","0.16","0.355","0.000"
"65","true","Empty","[gene=sbi] [locus_tag=RSAU_002257] [protein=immunoglobulin G-binding protein SBI] [protein_id=AGU56013.1] [location=2394335..2395645] [gbkey=CDS] BLASTORTHO sp_Q2FVK5_SBI_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56013.1_2129","50 kDa","0.9999987472999692","40","100%","< 0.0001","-2.05","0.000"
"66","true","Empty","[gene=nrdD] [locus_tag=RSAU_002458] [protein=anaerobic ribonucleoside triphosphate reductase, large chain] [protein_id=AGU56210.1] [location=complement(2613572..2615422)] [gbkey=CDS] BLASTORTHO tr_Q2FV02_Q2FV02_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56210.1_2326","70 kDa","0.9999987472999692","36","100%","0.00038","2.01","0.000"
"67","true","Empty","[locus_tag=RSAU_001314] [protein=hypothetical protein with DLP_2 domain] [protein_id=AGU55143.1] [location=complement(1430236..1433676)] [gbkey=CDS] BLASTORTHO tr_Q2FYJ0_Q2FYJ0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55143.1_1259","133 kDa","0.9999987472999692","38","100%","0.13","-0.261","0.000"
"68","true","Empty","[gene=polC] [locus_tag=RSAU_001146] [protein=Gram-positive type DNA polymerase III, alpha subunit] [protein_id=AGU54976.1] [location=1231561..1235877] [gbkey=CDS] BLASTORTHO sp_Q2G1Z8_DPO3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54976.1_1092","163 kDa","0.9999984367100296","38","100%","0.0035","1.15","0.000"
"69","true","Empty","[gene=lukG] [locus_tag=RSAU_001837] [protein=leukocidin F subunit LuKF-G, putative] [protein_id=AGU55611.1] [location=complement(1967037..1968053)] [gbkey=CDS] BLASTORTHO sp_Q2FWP0_LUKL1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55611.1_1727","39 kDa","0.9999987472999692","33","100%","0.90","-0.125","0.000"
"70","true","Empty","[gene=ltaS] [locus_tag=RSAU_000693] [protein=lipoteichoic acid synthase, type Ib, putative] [protein_id=AGU54531.1] [location=742973..744913] [gbkey=CDS] BLASTORTHO sp_Q2G093_LTAS_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54531.1_647","74 kDa","0.9999987472999692","33","100%","0.060","1.40","0.000"
"71","true","Empty","[gene=ctpA] [locus_tag=RSAU_001299] [protein=putative carboxy-terminal processing proteinase] [protein_id=AGU55128.1] [location=complement(1405500..1406990)] [gbkey=CDS] BLASTORTHO tr_Q2FYL3_Q2FYL3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55128.1_1244","55 kDa","0.9999984367100296","37","100%","0.052","0.603","0.000"
"72","true","Empty"," P35908v2 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal","zz_Y-FGCZCont00285_","65 kDa","0.9999984367100296","37","78%","0.14","0.681","0.000"
"73","true","Empty","[gene=sspA] [locus_tag=RSAU_001796] [protein=cysteine proteinase staphopain A] [protein_id=AGU55574.1] [location=1924966..1926132] [gbkey=CDS] BLASTORTHO sp_Q2G2R8_SSPP_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55574.1_1690","44 kDa","0.9999987472999692","31","100%","0.25","-1.37","0.000"
"74","true","Empty","[gene=rplE] [locus_tag=RSAU_002074] [protein=50S ribosomal protein L5] [protein_id=AGU55831.1] [location=complement(2212041..2212580)] [gbkey=CDS] BLASTORTHO sp_Q2FW18_RL5_STAA8 evalue=8.54574e-131","lcl_CP006706.1_prot_AGU55831.1_1947","20 kDa","0.9999987472999692","25","100%","< 0.0001","-0.337","0.000"
"75","true","Empty","[gene=ezrA] [locus_tag=RSAU_001574] [protein=septation ring formation regulator EzrA] [protein_id=AGU55397.1] [location=complement(1708352..1710046)] [gbkey=CDS] BLASTORTHO sp_Q2FXK8_EZRA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55397.1_1513","66 kDa","0.9999987472999692","36","100%","0.75","0.0654","0.000"
